iter	RMSE
174	9.067323936
175	9.060465336
176	9.055847074
177	9.046402656
178	9.038284008
179	9.027584613
180	9.019185296
181	9.011907599
182	8.997481287
183	8.990319268
184	8.980702772
185	8.974339561
186	8.965072971
187	8.958315568
188	8.9539038
189	8.945532665
190	8.939894277
191	8.932849399
192	8.925996536
193	8.914970646
194	8.908627556
195	8.903968027
196	8.897280798
197	8.890550558
198	8.883236741
199	8.875597836
200	8.868325714
201	8.861178143
202	8.849531261
203	8.842434576
204	8.835262604
205	8.827908967
206	8.820481333
207	8.812956791
208	8.805878937
209	8.799367
210	8.794077557
211	8.78779734
212	8.782285879
213	8.775239378
214	8.769528052
215	8.764247013
216	8.757433945
217	8.750295735
218	8.741335466
219	8.734285816
220	8.728288245
221	8.721597087
222	8.715218183
223	8.708555161
224	8.700307066
225	8.695055896
226	8.684474329
227	8.67922857
228	8.674884028
229	8.66506146
230	8.658186406
231	8.653751003
232	8.648505626
233	8.640717591
234	8.634994384
235	8.628303392
236	8.623170926
237	8.6179812
238	8.613624185
239	8.607369667
240	8.599244513
241	8.591767975
242	8.585768161
243	8.582381437
244	8.575009222
245	8.56950168
246	8.565126439
247	8.56016888
248	8.556917272
249	8.551752973
250	8.545638258
251	8.538508373
252	8.532253068
253	8.52475101
254	8.516649534
255	8.51294954
256	8.503705089
257	8.496024968
258	8.488312692
259	8.48435403
260	8.477491724
261	8.472847297
262	8.467738654
263	8.460663618
264	8.455904738
265	8.43986117
266	8.435301088
267	8.428841288
268	8.426307376
269	8.420652882
270	8.415953545
271	8.41067959
272	8.402932972
273	8.39506854
274	8.390410009
275	8.385244672
276	8.379272647
277	8.375904504
278	8.373179756
279	8.367382182
280	8.362843362
281	8.357452509
282	8.350013214
283	8.34507772
284	8.337333252
285	8.332778406
286	8.328387955
287	8.324238268
288	8.319952756
289	8.309298626
290	8.30570534
291	8.301211937
292	8.297535487
293	8.290098387
294	8.28371264
295	8.280544637
296	8.274234497
297	8.269914756
298	8.264064291
299	8.260796108
300	8.25509081
301	8.252343036
302	8.247332364
303	8.242945751
304	8.235792323
305	8.23208913
306	8.227077199
307	8.224887971
308	8.218911207
309	8.213722542
310	8.209732667
311	8.206102772
312	8.203918413
313	8.197718571
314	8.192612772
315	8.188754387
316	8.182778006
317	8.180154307
318	8.175735261
319	8.171240149
320	8.166497659
321	8.161351857
322	8.158116832
323	8.1534164
324	8.14527025
325	8.141926988
326	8.137763479
327	8.1339441
328	8.128706039
329	8.12187183
330	8.118605027
331	8.112126389
332	8.108664322
333	8.10432887
334	8.100023202
335	8.095163278
336	8.090058581
337	8.086529239
338	8.083534849
339	8.077878617
340	8.073375985
341	8.069115778
342	8.065585458
343	8.063318409
344	8.062118324
345	8.05747473
346	8.054307027
347	8.049840481
348	8.044822578
349	8.041474093
350	8.035663449
351	8.031639669
352	8.028569535
353	8.024499167
354	8.021122799
355	8.016654182
356	8.013810843
357	8.009961748
358	8.003722383
359	7.998056002
360	7.994821695
361	7.990835448
362	7.98646264
363	7.982358665
364	7.977533932
365	7.973954076
366	7.969196748
367	7.96619416
368	7.959602836
369	7.954396533
370	7.951259263
371	7.94625254
372	7.941117784
373	7.938236567
374	7.934769679
375	7.929463619
376	7.926583773
377	7.923010406
378	7.920051817
379	7.916350736
380	7.913811424
381	7.91137439
382	7.907583354
383	7.904208629
384	7.901355967
385	7.896953769
386	7.894362337
387	7.890960051
388	7.886415747
389	7.884318238
390	7.878838433
391	7.874993939
392	7.871513414
393	7.865178504
394	7.85932336
395	7.854307245
396	7.850857167
397	7.847496642
398	7.842550656
399	7.83845658
400	7.833650448
401	7.83063844
402	7.826105889
403	7.820821475
404	7.817650109
405	7.814603022
406	7.810526472
407	7.8080445
408	7.805736782
409	7.802627812
410	7.799253757
411	7.795026247
412	7.790387726
413	7.786936553
414	7.783921623
415	7.779027429
416	7.774750628
417	7.771499549
418	7.76747029
419	7.764318363
420	7.760357507
421	7.757357168
422	7.752631313
423	7.748920026
424	7.746651215
425	7.742944793
426	7.739681575
427	7.736214453
428	7.733192537
429	7.73053431
430	7.727565594
431	7.723695177
432	7.720673729
433	7.717985144
434	7.713590944
435	7.70972585
436	7.705743518
437	7.702524764
438	7.699328225
439	7.697467176
440	7.694363187
441	7.692144573
442	7.689307716
443	7.686827375
444	7.684624682
445	7.682145503
446	7.677685943
447	7.67513108
448	7.671366206
449	7.66812392
450	7.665053934
451	7.661923452
452	7.657302277
453	7.652816115
454	7.650583058
455	7.646786989
456	7.643027996
457	7.640434326
458	7.637940554
459	7.632669486
460	7.628375038
461	7.625767096
462	7.623390574
463	7.620214232
464	7.617153323
465	7.614930672
466	7.612006525
467	7.610037427
468	7.606181442
469	7.60315153
470	7.598709493
471	7.595111252
472	7.59168595
473	7.583328814
474	7.579683834
475	7.576377533
476	7.573021376
477	7.571022107
478	7.568706731
479	7.566358641
480	7.563075125
481	7.558977726
482	7.55568957
483	7.553874812
484	7.55142251
485	7.547877383
486	7.545153739
487	7.540912215
488	7.538855907
489	7.5355954
490	7.532315241
491	7.530060931
492	7.526490413
493	7.524455916
494	7.520782852
495	7.519134149
496	7.516222389
497	7.512643197
498	7.509266513
499	7.505813232
